step,latitude,longitude
1,31.230401,121.473701
2,31.230701,121.473701
3,31.231001,121.473701
4,31.231001,121.474001
5,31.230701,121.474301
6,31.231001,121.474001
7,31.231301,121.474301
8,31.231301,121.474001
9,31.231601,121.474301
10,31.231901,121.474601
11,31.232201,121.474901
12,31.231901,121.474601
13,31.232201,121.474601
14,31.232501,121.474601
15,31.232501,121.474901
16,31.232201,121.474901
17,31.232201,121.475201
18,31.232201,121.475501
19,31.232501,121.475501
20,31.232201,121.475201
21,31.232201,121.475501
22,31.232099,121.478099
